4
90
80 80
53 53 2
30 30 1
36 36 1
34 34 1
46 46 3
38 38 3
36 36 3
14 14 1
9 9 1
20 20 1
38 38 1
58 58 3
42 42 3
42 42 3
32 32 1
30 30 1
38 38 1
41 41 3
44 44 3
54 54 3
29 29 1
21 21 1
43 43 1
57 57 3
52 52 3
41 41 3
46 46 3
38 38 3
30 30 1
28 28 1
35 35 3
38 38 3
25 25 1
39 39 1
49 49 3
46 46 3
55 55 3
56 56 2
60 60 2
53 53 3
48 48 3
39 39 1
41 41 1
53 53 3
57 57 3
39 39 1
49 49 3
39 39 3
35 35 3
51 51 3
44 44 1
24 24 1
11 11 1
21 21 3
24 24 1
23 23 1
10 10 1
19 19 1
10 10 1
43 43 1
28 28 1
21 21 1
26 26 1
24 24 1
25 25 1
28 28 1
56 56 2
60 60 2
54 54 2
48 48 2
60 60 2
51 51 2
52 52 2
58 58 3
56 56 3
30 30 1
20 20 1
24 24 1
52 52 3
61 61 2
63 63 2
55 55 2
46 46 3
47 47 2
66 66 2
55 55 2
52 52 2
30 30 1
24 24 1
39 39 1
